epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
46,2550.45,0.65601,1.07043,0.66638,0.95452,0.5524,0.84267,0.64679,0.54641,0.554,0.84678,0.65021,0.52659,0.60484,1.01259,0.60724,0.92953,0.000205165,0.000205165,0.000205165
47,2605.82,0.65087,1.06884,0.65778,0.95381,0.61325,0.80844,0.69016,0.58148,0.62652,0.8159,0.70212,0.56371,0.60848,0.98783,0.55605,0.92973,0.000201502,0.000201502,0.000201502
48,2661.19,0.6454,1.05865,0.65543,0.95308,0.55386,0.81437,0.6342,0.53601,0.55714,0.81899,0.64206,0.5214,0.61112,0.99126,0.60884,0.92948,0.000197839,0.000197839,0.000197839
49,2716.32,0.64663,1.05618,0.65382,0.95209,0.58536,0.82487,0.67597,0.56237,0.58235,0.81305,0.67229,0.54417,0.60652,1.0079,0.57277,0.92629,0.000194176,0.000194176,0.000194176
50,2771.27,0.64634,1.06077,0.65428,0.95309,0.56529,0.80684,0.64671,0.54879,0.57045,0.81715,0.65418,0.53151,0.60552,1.00466,0.57322,0.92927,0.000190513,0.000190513,0.000190513
51,2826.58,0.64544,1.04936,0.65234,0.95037,0.58158,0.80348,0.66421,0.56408,0.58534,0.81237,0.67294,0.54717,0.60043,1.00586,0.58531,0.92344,0.00018685,0.00018685,0.00018685
52,2881.73,0.63866,1.04855,0.63964,0.94909,0.59042,0.80754,0.67648,0.57067,0.59829,0.81933,0.68591,0.55505,0.59516,0.98575,0.55433,0.92503,0.000183187,0.000183187,0.000183187
53,2937.01,0.63615,1.04497,0.63834,0.94493,0.53341,0.74768,0.60434,0.52029,0.53866,0.75913,0.61237,0.50594,0.58518,1.00315,0.65608,0.91389,0.000179524,0.000179524,0.000179524
54,2991.89,0.64062,1.05622,0.63602,0.95108,0.56454,0.85146,0.68927,0.58842,0.57157,0.84831,0.69586,0.56378,0.58346,0.98093,0.55153,0.91281,0.000175861,0.000175861,0.000175861
55,3047.6,0.63638,1.05229,0.6304,0.94432,0.52887,0.75478,0.59342,0.50983,0.52714,0.7707,0.59734,0.49373,0.58585,1.00954,0.66127,0.91651,0.000172198,0.000172198,0.000172198
56,3103.02,0.62825,1.03397,0.6197,0.94184,0.55183,0.8005,0.62523,0.53513,0.5555,0.80766,0.6309,0.51977,0.58443,0.98827,0.60129,0.91392,0.000168535,0.000168535,0.000168535
57,3158.59,0.62429,1.01564,0.61694,0.93804,0.56712,0.77843,0.65334,0.55438,0.57297,0.78611,0.65768,0.53923,0.58718,0.98892,0.59638,0.91571,0.000164872,0.000164872,0.000164872
58,3214.1,0.62462,1.01745,0.61189,0.94026,0.5613,0.78425,0.64411,0.55164,0.56689,0.79611,0.65412,0.53626,0.58096,0.98675,0.58753,0.9146,0.000161209,0.000161209,0.000161209
59,3270.16,0.6238,1.02087,0.6122,0.9406,0.47624,0.73012,0.54099,0.46365,0.48246,0.73594,0.54576,0.45024,0.57838,0.9792,0.75124,0.91082,0.000157546,0.000157546,0.000157546
60,3325.59,0.6212,1.01811,0.60851,0.93893,0.59391,0.81355,0.66994,0.57246,0.60039,0.82858,0.68279,0.55338,0.57809,0.96844,0.54849,0.91114,0.000153883,0.000153883,0.000153883
61,3381.37,0.62083,1.01208,0.60133,0.9398,0.5592,0.78661,0.6336,0.53894,0.55935,0.78705,0.63989,0.52353,0.58119,0.96173,0.58488,0.9137,0.00015022,0.00015022,0.00015022
62,3436.18,0.6141,0.99918,0.60038,0.93538,0.57544,0.82021,0.67998,0.5768,0.5933,0.79837,0.68605,0.56055,0.58278,0.95602,0.5381,0.91748,0.000146557,0.000146557,0.000146557
